Bermuda,4990,7.71,82.22,150.881,5385.27
Suriname,2393,6.60,16.24,238.788,6986.51
Anguilla,3548,14.03,49.34,233.198,6401.18
Venezuela,3327,1.02,4.43,260.414,7329.38
Israel,2434,30.50,27.14,104.451,013
Iceland,4998,41.65,88.88,58.905,1798.44
Zambia,1736,10.45,47.67,254.111,8014.32
Senegal,3910,25.79,87.39,123.509,4296.92
Zimbabwe,1654,9.40,25.72,332.023,8370.31
Germany,4842,52.73,91.60,37.561,650.66
Vanuatu,4711,3.09,4.22,614.641,16182.58
Abkhazia,4502,24.01,57.65,136.608,3368.79
Kazakhstan,3491,5.86,18.25,157.884,3660.71
Poland,2950,35.03,55.39,63.181,1163.60
Kyrgyzstan,4640,20.32,18.36,192.778,5637.98
Macedonia,1961,37.70,89.73,77.386,2096.66
Latvia,4173,36.36,24.39,82.236,1683.68
Japan, 811,6.34,27.16,438.99,10102.85
Honduras,4074,12.03,61.10,214.907,8248.60
Egypt,1915,15.91,32.24,82.406,3655.24
Nicaragua,4190,9.40,75.73,262.666,8518.38
Singapore,4907,3.66,75.30,289.666,11018.35
Serbia,3800,34.30,83.37,88.013,1727.71
Greece,2105,33.82,90.64,88.756,2286.50
Paraguay,3773,3.08,3.69,364.276,10011.14
Namibia,3337,1.68,52.26,250.501,8452.06
